CO_POSICAO,SG_AREA,CO_ITEM,TX_GABARITO,CO_HABILIDADE,IN_ITEM_ABAN,TX_MOTIVO_ABAN,NU_PARAM_A,NU_PARAM_B,NU_PARAM_C,TX_COR,CO_PROVA,TP_LINGUA,IN_ITEM_ADAPTADO,ano
147,MT,30740,B,12.0,0,,1.64938,1.94549,0.20724,Azul,515,,0.0,2019
148,MT,30436,C,12.0,0,,1.64692,0.47926,0.18811,Azul,515,,0.0,2019
149,MT,117725,D,24.0,0,,1.20999,2.11115,0.06509,Azul,515,,0.0,2019
150,MT,84409,B,23.0,0,,1.77601,1.53793,0.14814,Azul,515,,0.0,2019
151,MT,28434,A,16.0,0,,2.45024,3.01267,0.14322,Azul,515,,0.0,2019
152,MT,117607,B,16.0,0,,2.28084,1.24447,0.12125,Azul,515,,0.0,2019
153,MT,30570,E,3.0,0,,3.17618,2.35696,0.27294,Azul,515,,0.0,2019
154,MT,84374,C,21.0,0,,1.7206,2.05336,0.18597,Azul,515,,0.0,2019
155,MT,83754,E,2.0,0,,3.93635,3.78057,0.19828,Azul,515,,0.0,2019
156,MT,39708,C,3.0,0,,2.45518,2.61221,0.15911,Azul,515,,0.0,2019
157,MT,117950,A,7.0,0,,3.76775,2.42062,0.20831,Azul,515,,0.0,2019
158,MT,117845,C,11.0,0,,3.1849,1.31578,0.14485,Azul,515,,0.0,2019
159,MT,117726,D,30.0,0,,2.31939,1.41653,0.07186,Azul,515,,0.0,2019
160,MT,8368,C,28.0,0,,2.17954,1.95289,0.13818,Azul,515,,0.0,2019
161,MT,13303,B,27.0,0,,3.1073,1.87878,0.18717,Azul,515,,0.0,2019
162,MT,14324,D,10.0,0,,3.8143,2.48432,0.09189,Azul,515,,0.0,2019
163,MT,18002,C,4.0,0,,3.41848,1.95818,0.16938,Azul,515,,0.0,2019
164,MT,42803,C,13.0,0,,2.30372,1.40103,0.13792,Azul,515,,0.0,2019
165,MT,117743,E,19.0,0,,3.9588,1.47023,0.11919,Azul,515,,0.0,2019
166,MT,10360,D,8.0,0,,1.52296,2.72201,0.36496,Azul,515,,0.0,2019
167,MT,31184,C,29.0,0,,2.662,2.957,0.068,Azul,515,,0.0,2019
168,MT,8401,D,19.0,0,,2.25899,1.51757,0.09598,Azul,515,,0.0,2019
169,MT,117818,A,9.0,0,,1.62365,1.98136,0.18076,Azul,515,,0.0,2019
170,MT,117783,B,14.0,0,,1.96646,2.01615,0.1547,Azul,515,,0.0,2019
171,MT,83792,E,2.0,0,,1.25552,1.93449,0.06675,Azul,515,,0.0,2019
172,MT,8442,D,25.0,0,,1.51,3.003,0.147,Azul,515,,0.0,2019
173,MT,89634,E,28.0,0,,2.5937,1.91179,0.07742,Azul,515,,0.0,2019
174,MT,78445,C,26.0,0,,5.31206,3.34343,0.16052,Azul,515,,0.0,2019
175,MT,17642,D,8.0,0,,2.24304,2.30004,0.20665,Azul,515,,0.0,2019
176,MT,117767,D,18.0,0,,0.1828,12.4166,0.11617,Azul,515,,0.0,2019
177,MT,83955,D,21.0,0,,2.5833,1.63345,0.16356,Azul,515,,0.0,2019
178,MT,111593,B,25.0,0,,4.12689,2.8894,0.12635,Azul,515,,0.0,2019
179,MT,111518,A,20.0,0,,1.57287,1.15345,0.11072,Azul,515,,0.0,2019
